# gunzip -c exp/tri1/decode/depth_stats_tmp.*.gz | steps/diagnostic/analyze_lattice_depth_stats.py exp/tri1/graph 
# Started at Thu Mar 12 11:07:37 +0530 2020
#
The total amount of data analyzed assuming 100 frames per second is 0.0 hours
Overall, lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.4
Nonsilence phones as a group account for 72.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone sil accounts for 27.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,3) and mean=1.6
Phone @_E accounts for 13.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,3) and mean=1.5
Phone a_I accounts for 6.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone h_B accounts for 4.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone h_I accounts for 3.4% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone s_E accounts for 3.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone y_I accounts for 3.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,4) and mean=1.5
Phone a:_I accounts for 3.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone s_I accounts for 2.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone i:_I accounts for 2.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.2
Phone e_B accounts for 2.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,4) and mean=1.7
Phone d^_B accounts for 2.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone a_E accounts for 2.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone @_I accounts for 2.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone d^_I accounts for 1.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone n_I accounts for 1.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone t^_I accounts for 1.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone t_I accounts for 1.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone w_I accounts for 1.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone k_I accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,3) and mean=1.6
Phone a_B accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,8) and mean=2.0
Phone p_B accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone e_I accounts for 1.1% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone u_I accounts for 1.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone n_B accounts for 1.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.2
Phone r_I accounts for 0.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,5) and mean=1.6
Phone i_I accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone t^_B accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone l_I accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.2
Phone ae_I accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(1,2,2) and mean=1.5
# Accounting: time=0 threads=1
# Ended (code 0) at Thu Mar 12 11:07:37 +0530 2020, elapsed time 0 seconds
